map_id,tier,nest_drop_id,quality_group,prob_in_group,p25_price_per_item,p25_price_per_cell
2101,101,2001,q1,0.29365701,127.0,114.0
2101,101,2001,q2,0.31323414,312.0,252.0
2101,101,2001,q3,0.29365701,1125.0,849.3333
2101,101,2001,q4,0.07830854,3180.0,2100.0
2101,101,2001,q5,0.01957713,14850.0,7987.5
2101,101,2001,q6,0.00156617,54675.0,54600.0
2101,101,2001,q1+q2,0.60689115,168.0,127.0
2101,101,2001,q1+q3,0.58731402,160.0,134.0
2101,101,2001,q1+q4,0.37196554,138.0,123.0
2101,101,2001,q1+q5,0.31323414,134.0,115.0
2101,101,2001,q1+q6,0.29522318,127.0,114.0
2101,101,2001,q2+q3,0.60689115,458.0,295.0
2101,101,2001,q2+q4,0.39154268,346.0,257.0
2101,101,2001,q2+q5,0.33281128,312.0,252.0
2101,101,2001,q2+q6,0.31480031,312.0,252.0
2101,101,2001,q3+q4,0.37196554,1300.0,898.0
2101,101,2001,q3+q5,0.31323414,1175.0,855.0
2101,101,2001,q3+q6,0.29522318,1125.0,849.3333
2101,101,2001,q4+q5,0.09788567,3780.0,2184.6667
2101,101,2001,q4+q6,0.07987471,3180.0,2110.0
2101,101,2001,q5+q6,0.0211433,15325.0,8606.25
2101,101,2001,q1+q2+q3,0.90054816,248.0,152.0
2101,101,2001,q1+q2+q4,0.68519969,179.0,135.0
2101,101,2001,q1+q2+q5,0.62646829,168.0,129.3333
2101,101,2001,q1+q2+q6,0.60845732,168.0,127.0
2101,101,2001,q1+q3+q4,0.66562255,170.0,138.0
2101,101,2001,q1+q3+q5,0.60689115,168.0,134.0
2101,101,2001,q1+q3+q6,0.58888019,160.0,134.0
2101,101,2001,q1+q4+q5,0.39154268,138.0,123.0
2101,101,2001,q1+q4+q6,0.37353171,138.0,123.0
2101,101,2001,q1+q5+q6,0.31480031,134.0,117.0
2101,101,2001,q2+q3+q4,0.68519969,466.0,312.0
2101,101,2001,q2+q3+q5,0.62646829,458.0,301.0
2101,101,2001,q2+q3+q6,0.60845732,458.0,295.0
2101,101,2001,q2+q4+q5,0.41111981,360.0,262.0
2101,101,2001,q2+q4+q6,0.39310885,346.0,261.0
2101,101,2001,q2+q5+q6,0.33437745,312.0,252.0
2101,101,2001,q3+q4+q5,0.39154268,1313.0,923.0
2101,101,2001,q3+q4+q6,0.37353171,1300.0,898.0
2101,101,2001,q3+q5+q6,0.31480031,1178.0,855.0
2101,101,2001,q4+q5+q6,0.09945184,3780.0,2207.5
2101,101,2001,q1+q2+q3+q4,0.9788567,252.0,168.0
2101,101,2001,q1+q2+q3+q5,0.92012529,252.0,158.4444
2101,101,2001,q1+q2+q3+q6,0.90211433,248.0,152.0
2101,101,2001,q1+q2+q4+q5,0.70477682,184.0,137.0
2101,101,2001,q1+q2+q4+q6,0.68676586,179.0,135.0
2101,101,2001,q1+q2+q5+q6,0.62803446,168.0,129.3333
2101,101,2001,q1+q3+q4+q5,0.68519969,179.0,138.5
2101,101,2001,q1+q3+q4+q6,0.66718872,170.0,138.0
2101,101,2001,q1+q3+q5+q6,0.60845732,168.0,135.0
2101,101,2001,q1+q4+q5+q6,0.39310885,138.0,123.0
2101,101,2001,q2+q3+q4+q5,0.70477682,473.0,312.0
2101,101,2001,q2+q3+q4+q6,0.68676586,466.0,312.0
2101,101,2001,q2+q3+q5+q6,0.62803446,458.0,301.0
2101,101,2001,q2+q4+q5+q6,0.41268598,360.0,262.0
2101,101,2001,q3+q4+q5+q6,0.39310885,1313.0,923.0
2101,101,2001,q1+q2+q3+q4+q5,0.99843383,252.0,169.0
2101,101,2001,q1+q2+q3+q4+q6,0.98042287,252.0,168.0
2101,101,2001,q1+q2+q3+q5+q6,0.92169146,252.0,158.4444
2101,101,2001,q1+q2+q4+q5+q6,0.70634299,184.0,137.0
2101,101,2001,q1+q3+q4+q5+q6,0.68676586,179.0,138.5
2101,101,2001,q2+q3+q4+q5+q6,0.70634299,473.0,312.0
2101,101,2001,q1+q2+q3+q4+q5+q6,1.0,252.0,169.0
2101,101,2001,all,1.0,252.0,169.0
2102,101,2002,q1,0.29358995,134.0,117.0
2102,101,2002,q2,0.31316262,312.0,277.0
2102,101,2002,q3,0.29358995,1125.0,823.5
2102,101,2002,q4,0.07829065,3454.0,2100.0
2102,101,2002,q5,0.01957266,16200.0,9300.0
2102,101,2002,q6,0.00179416,54675.0,54675.0
2102,101,2002,q1+q2,0.60675257,161.0,134.0
2102,101,2002,q1+q3,0.58717991,156.0,134.0
