map_id,tier,nest_drop_id,quality_group,prob_in_group,avg_price_per_item,avg_price_per_cell
2101,101,2001,q1,0.29365701,202.7718,118.4634
2101,101,2001,q2,0.31323414,606.3839,291.5937
2101,101,2001,q3,0.29365701,2269.1077,917.4746
2101,101,2001,q4,0.07830854,6931.1108,2444.4747
2101,101,2001,q5,0.01957713,32629.7684,9587.4375
2101,101,2001,q6,0.00156617,68072.2211,64551.3821
2101,101,2001,q1+q2,0.60689115,411.0877,216.1856
2101,101,2001,q1+q3,0.58731402,1235.9397,590.6672
2101,101,2001,q1+q4,0.37196554,1619.2642,831.1339
2101,101,2001,q1+q5,0.31323414,2229.4591,1226.7201
2101,101,2001,q1+q6,0.29522318,562.8219,329.483
2101,101,2001,q2+q3,0.60689115,1410.9277,621.5455
2101,101,2001,q2+q4,0.39154268,1871.3293,838.8885
2101,101,2001,q2+q5,0.33281128,2490.1124,1154.2064
2101,101,2001,q2+q6,0.31480031,942.0349,454.1127
2101,101,2001,q3+q4,0.37196554,3250.582,1275.0056
2101,101,2001,q3+q5,0.31323414,4166.649,1646.0209
2101,101,2001,q3+q6,0.29522318,2618.1958,1061.8537
2101,101,2001,q4+q5,0.09788567,12070.8423,4093.1803
2101,101,2001,q4+q6,0.07987471,8129.9561,2903.0371
2101,101,2001,q5+q6,0.0211433,35255.1353,10916.9326
2101,101,2001,q1+q2+q3,0.90054816,1016.9638,487.0607
2101,101,2001,q1+q2+q4,0.68519969,1156.2332,575.7336
2101,101,2001,q1+q2+q5,0.62646829,1417.9215,727.7054
2101,101,2001,q1+q2+q6,0.60845732,585.2477,308.1272
2101,101,2001,q1+q3+q4,0.66562255,1905.9599,874.3516
2101,101,2001,q1+q3+q5,0.60689115,2248.6439,1053.3597
2101,101,2001,q1+q3+q6,0.58888019,1413.6958,676.511
2101,101,2001,q1+q4+q5,0.39154268,3169.7894,1568.4141
2101,101,2001,q1+q4+q6,0.37353171,1897.893,976.0253
2101,101,2001,q1+q5+q6,0.31480031,2557.035,1409.9072
2101,101,2001,q2+q3+q4,0.68519969,2041.8058,874.5672
2101,101,2001,q2+q3+q5,0.62646829,2386.5165,1035.1635
2101,101,2001,q2+q3+q6,0.60845732,1582.514,698.0953
2101,101,2001,q2+q4+q5,0.41111981,3336.0169,1458.9638
2101,101,2001,q2+q4+q6,0.39310885,2135.0779,959.1378
2101,101,2001,q2+q5+q6,0.33437745,2797.2886,1299.6994
2101,101,2001,q3+q4+q5,0.39154268,4719.5413,1820.6976
2101,101,2001,q3+q4+q6,0.37353171,3522.3709,1385.017
2101,101,2001,q3+q5+q6,0.31480031,4484.5871,1776.7784
2101,101,2001,q4+q5+q6,0.09945184,12952.7538,4437.1223
2101,101,2001,q1+q2+q3+q4,0.9788567,1490.0956,693.7912
2101,101,2001,q1+q2+q3+q5,0.92012529,1689.5767,798.4959
2101,101,2001,q1+q2+q3+q6,0.90211433,1133.3792,543.283
2101,101,2001,q1+q2+q4+q5,0.70477682,2030.4981,991.9233
